gene	tissue	method	nsnps	PP0	PP1	PP2	PP3	PP4
FCGR2A	Colon_Transverse	significant_pairs_approx	5	0.5452559147080432	0.41884337196205107	0.0002304123722728049	0.000141464557603209	0.03552883640002971
SELE	Colon_Transverse	significant_pairs_approx	3	0.9411824365134651	0.01010182056582161	0.015905264309306083	0.0001380406138734443	0.03267243799753372
C5AR1	Colon_Sigmoid	significant_pairs_approx	48	0.0022648491564746225	0.9875870372836058	1.1614200570842495e-06	0.0004967868262796981	0.009650165313582865
FPR1	Colon_Sigmoid	significant_pairs_approx	15	0.000513358041141679	0.9919436648533619	6.115651116779532e-08	0.00011073839533250596	0.007432177553652584
FPR1	Colon_Transverse	significant_pairs_approx	12	4.402917022955311e-05	0.9928361736376882	3.979225754093012e-09	8.269248652540605e-05	0.007037100726330773
G0S2	Colon_Transverse	significant_pairs_approx	10	0.5637867479884874	0.43016947765848806	0.00011429589884225413	8.135969035708701e-05	0.005848118763825211
S100A8	Colon_Transverse	significant_pairs_approx	2	0.9665754716691282	0.03298208764098527	4.5706619895510546e-05	1.1640596174750393e-06	0.00039557001037358365
IL11	Colon_Transverse	significant_pairs_approx	2	0.9957025042786363	0.0038794710135523973	0.00013244092234679204	2.3066518543436534e-07	0.0002853531202791068
ADGRE2	Colon_Sigmoid	significant_pairs_approx	1					
FCGR3B	Colon_Transverse	significant_pairs_approx	1					
