analysis	adjustment	covariates	n_patients	n_R	n_NR	therapy	auc_senmayo	auc_adjustment	auc_adjusted	delta_auc_vs_adjustment	senmayo_coef_std	senmayo_p	fit_status
GSE12251	crp_signature	inflam_crp	22	12	10	IFX	0.9166666666666665	0.8083333333333333	0.9000000000000001	0.09166666666666679	3.674747421869458	0.07337128044770985	ok
GSE12251	neutrophil_proxy	neutrophil_proxy	22	12	10	IFX	0.9166666666666665	0.8916666666666666	0.9166666666666667	0.025000000000000133	3.278773954448723	0.12661949884777807	ok
GSE12251	gene_inflammation	inflammation_score	22	12	10	IFX	0.9166666666666665	0.9166666666666667	0.925	0.008333333333333304	2.7617740138327433	0.22594271136548472	ok
GSE16879	crp_signature	inflam_crp	61	28	33	IFX	0.8300865800865801	0.8106060606060607	0.8268398268398267	0.016233766233766045	1.0938374137250346	0.12207187132217423	ok
GSE16879	neutrophil_proxy	neutrophil_proxy	61	28	33	IFX	0.8300865800865801	0.8116883116883118	0.8225108225108224	0.010822510822510623	1.5093755018166877	0.020515889414392027	ok
GSE16879	gene_inflammation	inflammation_score	61	28	33	IFX	0.8300865800865801	0.8246753246753248	0.827922077922078	0.0032467532467531646	1.0664697695035454	0.17252849310092633	ok
GSE23597	crp_signature	inflam_crp	31	24	7	IFX	0.7023809523809523	0.6785714285714286	0.6904761904761905	0.011904761904761862	1.173834862792486	0.29369541057208426	ok
GSE23597	neutrophil_proxy	neutrophil_proxy	31	24	7	IFX	0.7023809523809523	0.7559523809523809	0.7380952380952381	-0.017857142857142794	0.39489217693294576	0.7008432239809719	ok
GSE23597	gene_inflammation	inflammation_score	31	24	7	IFX	0.7023809523809523	0.7559523809523809	0.7261904761904762	-0.029761904761904767	0.3909486469276041	0.7591507776099948	ok
GSE73661	crp_signature	inflam_crp	64	25	39	IFX,VDZ	0.7087179487179487	0.7056410256410257	0.7056410256410256	-1.1102230246251565e-16	0.8997583557803208	0.14553566468022114	ok
GSE73661	neutrophil_proxy	neutrophil_proxy	64	25	39	IFX,VDZ	0.7087179487179487	0.6779487179487179	0.6892307692307691	0.011282051282051175	1.0230851872051914	0.07008508684234936	ok
GSE73661	gene_inflammation	inflammation_score	64	25	39	IFX,VDZ	0.7087179487179487	0.6994871794871794	0.6943589743589742	-0.005128205128205221	0.9776302566085785	0.13428212303979234	ok
GSE73661	mayo	mayo	64	25	39	IFX,VDZ	0.7087179487179487	0.29743589743589743	0.6861538461538461	0.3887179487179487	0.9284046263114034	0.005917429881845753	ok
GSE73661	gene_inflammation_plus_mayo	inflammation_score,mayo	64	25	39	IFX,VDZ	0.7087179487179487	0.6625641025641025	0.6697435897435898	0.007179487179487354	1.0365699511286468	0.1214932016729964	ok
GSE92415	crp_signature	inflam_crp	59	32	27	GLM	0.6203703703703702	0.6400462962962963	0.6192129629629629	-0.02083333333333337	0.19822131495359166	0.7125886592316006	ok
GSE92415	neutrophil_proxy	neutrophil_proxy	59	32	27	GLM	0.6203703703703702	0.630787037037037	0.6018518518518517	-0.02893518518518523	0.3664102185453701	0.41037350395012084	ok
GSE92415	gene_inflammation	inflammation_score	59	32	27	GLM	0.6203703703703702	0.6319444444444444	0.6099537037037036	-0.02199074074074081	0.1798001457127263	0.7367347213133735	ok
GSE92415	mayo	mayo	59	32	27	GLM	0.6203703703703702	0.5243055555555556	0.6203703703703703	0.09606481481481477	0.553592581013478	0.06886305638949781	ok
GSE92415	gene_inflammation_plus_mayo	inflammation_score,mayo	59	32	27	GLM	0.6203703703703702	0.6215277777777778	0.6064814814814815	-0.01504629629629628	0.09429186239358785	0.8631055967720159	ok
pooled_with_cohort_FE	crp_signature	inflam_crp	237	121	116	GLM,IFX,VDZ	0.750142490738102	0.7355371900826447	0.7469364491308065	0.011399259048161747	0.7433728384371883	0.022327696183506014	ok
pooled_with_cohort_FE	neutrophil_proxy	neutrophil_proxy	237	121	116	GLM,IFX,VDZ	0.750142490738102	0.731262467939584	0.7460102593331432	0.014747791393559195	0.8746596631894368	0.002579875295819834	ok
pooled_with_cohort_FE	gene_inflammation	inflammation_score	237	121	116	GLM,IFX,VDZ	0.750142490738102	0.7419492732972358	0.7485038472499288	0.006554573952692988	0.624928080319561	0.06756928234880652	ok
pooled_with_cohort_FE	mayo	mayo	123	57	66	GLM,IFX,VDZ	0.6903242955874535	0.38038277511961727	0.6693248272195641	0.28894205209994683	0.7481729850390857	0.0009187316451596051	ok
pooled_with_cohort_FE	gene_inflammation_plus_mayo	inflammation_score,mayo	123	57	66	GLM,IFX,VDZ	0.6903242955874535	0.6650717703349281	0.6706539074960128	0.005582137161084688	0.5065627216410016	0.2297181135217905	ok
