analysis	score	cohort	n_patients	n_R	n_NR	therapy	auc	ci_low	ci_high	auc_se	direction	i2	tau2
cohort	senmayo	GSE12251	22	12	10	IFX	0.9333333333333333	0.8035714285714286	1.0	0.0524861676060448	higher_score_more_nonresponse		
cohort	senmayo	GSE16879	61	28	33	IFX	0.8517316017316018	0.7533311688311688	0.9355619369369369	0.04745385787281416	higher_score_more_nonresponse		
cohort	senmayo	GSE23597	31	24	7	IFX	0.7619047619047619	0.47474747474747475	0.9933511904761901	0.1250675693117142	higher_score_more_nonresponse		
cohort	senmayo	GSE73661	64	25	39	IFX,VDZ	0.7405128205128205	0.6065666423647933	0.86111673414305	0.064606275678107	higher_score_more_nonresponse		
cohort	senmayo	GSE92415	59	32	27	GLM	0.6712962962962963	0.519995337995338	0.8047753456221196	0.07246530047467062	higher_score_more_nonresponse		
pooled_random_effects	senmayo	POOLED	237	121	116	mixed	0.7822472800853482	0.6772787618322891	0.8601248795755418		higher_score_more_nonresponse	46.19452148087762	0.16338310381716456
leave_one_cohort_out	senmayo	without_GSE12251	215	109	106	mixed	0.7580032787377378	0.6624047177215205	0.8333416967560124		higher_score_more_nonresponse	31.37243134114694	0.07109369309670847
leave_one_cohort_out	senmayo	without_GSE16879	176	93	83	mixed	0.7506147208503023	0.6292530792029968	0.8422111665618223		higher_score_more_nonresponse	34.81536339967504	0.1166332172452111
leave_one_cohort_out	senmayo	without_GSE23597	206	97	109	mixed	0.7891580488935612	0.6637514878930634	0.8764959692420486		higher_score_more_nonresponse	59.62968663236155	0.23986618482161426
leave_one_cohort_out	senmayo	without_GSE73661	173	96	77	mixed	0.8036995846592275	0.6569033281145307	0.8974893028618943		higher_score_more_nonresponse	58.00407671667453	0.32657340405772584
leave_one_cohort_out	senmayo	without_GSE92415	178	89	89	mixed	0.8139503679766128	0.712821574641606	0.8852022635535531		higher_score_more_nonresponse	28.708517639561883	0.09663254547014642
cohort	core_sen	GSE12251	22	12	10	IFX	0.7250000000000001	0.4833333333333334	0.925	0.11292424801396331	higher_score_more_nonresponse		
cohort	core_sen	GSE16879	61	28	33	IFX	0.5800865800865801	0.4361416758298909	0.7255693473193471	0.0745300722345952	higher_score_more_nonresponse		
cohort	core_sen	GSE23597	31	24	7	IFX	0.6785714285714285	0.4345193001443002	0.8913043478260869	0.11824229823630747	higher_score_more_nonresponse		
cohort	core_sen	GSE73661	64	25	39	IFX,VDZ	0.5015384615384615	0.3426991835585586	0.6594914914914913	0.08005824839895853	higher_score_more_nonresponse		
cohort	core_sen	GSE92415	59	32	27	GLM	0.40393518518518523	0.25921658986175117	0.5559442640692641	0.07545917193795838	reversed		
pooled_random_effects	core_sen	POOLED	237	121	116	mixed	0.5487896630797499	0.4401099619966184	0.6530060515510588		higher_score_more_nonresponse	41.0178476036284	0.09886788885983336
leave_one_cohort_out	core_sen	without_GSE12251	215	109	106	mixed	0.5204316183520176	0.41680956809531305	0.6223249805913471		higher_score_more_nonresponse	32.25007257136153	0.05833647176279081
leave_one_cohort_out	core_sen	without_GSE16879	176	93	83	mixed	0.547370570586939	0.4025950960336374	0.684551477627579		higher_score_more_nonresponse	52.124920645206274	0.18012261252414216
leave_one_cohort_out	core_sen	without_GSE23597	206	97	109	mixed	0.5289908085478889	0.4131600332006785	0.6417813332058956		higher_score_more_nonresponse	44.34393578627287	0.09889897675140509
leave_one_cohort_out	core_sen	without_GSE73661	173	96	77	mixed	0.5728215958895025	0.4261758565429092	0.7076951330372008		higher_score_more_nonresponse	54.217802546870466	0.19046996949817127
leave_one_cohort_out	core_sen	without_GSE92415	178	89	89	mixed	0.583396764770125	0.4898016767491232	0.6713429682566665		higher_score_more_nonresponse	0.0	0.0
cohort	inflammation_score	GSE12251	22	12	10	IFX	0.9333333333333333	0.7998717948717948	1.0	0.05491272932750531	higher_score_more_nonresponse		
cohort	inflammation_score	GSE16879	61	28	33	IFX	0.8538961038961039	0.752144199281938	0.9380985680985681	0.04851527335643699	higher_score_more_nonresponse		
cohort	inflammation_score	GSE23597	31	24	7	IFX	0.8154761904761905	0.6153846153846154	0.960038461538461	0.08759207690095747	higher_score_more_nonresponse		
cohort	inflammation_score	GSE73661	64	25	39	IFX,VDZ	0.7292307692307693	0.5935832992082992	0.856847447356461	0.06841099405927441	higher_score_more_nonresponse		
cohort	inflammation_score	GSE92415	59	32	27	GLM	0.6875	0.5428240740740741	0.823106662812545	0.07164391461389656	higher_score_more_nonresponse		
pooled_random_effects	inflammation_score	POOLED	237	121	116	mixed	0.7881853200841946	0.6901132795177559	0.8614509916824675		higher_score_more_nonresponse	41.76079666215566	0.13712366333895482
leave_one_cohort_out	inflammation_score	without_GSE12251	215	109	106	mixed	0.7670191905917634	0.6757450035327099	0.8387323056270516		higher_score_more_nonresponse	28.84824275296204	0.0628662956019994
leave_one_cohort_out	inflammation_score	without_GSE16879	176	93	83	mixed	0.7600657803214019	0.645883326779624	0.8461980799776804		higher_score_more_nonresponse	32.38286133880452	0.10184120777609204
leave_one_cohort_out	inflammation_score	without_GSE23597	206	97	109	mixed	0.7877274371500048	0.665831723457431	0.8735998481012803		higher_score_more_nonresponse	54.959020513319025	0.209627910510689
leave_one_cohort_out	inflammation_score	without_GSE73661	173	96	77	mixed	0.8129785946219507	0.6855396254990287	0.8965638665172095		higher_score_more_nonresponse	51.31634779328167	0.2425299672151476
leave_one_cohort_out	inflammation_score	without_GSE92415	178	89	89	mixed	0.8174601446558071	0.7181433445263458	0.8872742917879111		higher_score_more_nonresponse	29.144103447786158	0.09685836373841689
