dataset	disease	cell_type	n_cells	sasp_score_mean	arrest_score_mean	proliferation_score_mean	true_senescent_fraction	inflamed_fraction
Martin_CD	CD	B_Plasma	34732	0.02458113358026863	0.016471696473308855	-0.007238839017939129	0.03190141656109639	0.5673154439709778
Martin_CD	CD	Endothelial	1933	0.13952872893763404	0.1487628980593797	-0.05984781210186934	0.10398344542162442	0.4505949301603725
Martin_CD	CD	Epithelial	7038	0.05644861964594331	0.004399379090639162	0.04258322384906073	0.07672634271099744	0.3168513782324524
Martin_CD	CD	Fibroblast	2490	0.18404161332396762	0.10959403573569045	-0.04930199675371689	0.0891566265060241	0.5393574297188755
Martin_CD	CD	Mast	1080	0.06175111799248531	0.007758492880618131	-0.009719425441122349	0.030555555555555555	0.43425925925925923
Martin_CD	CD	Myeloid	6727	0.11492196068729107	0.04283973718273422	-0.014363440807073856	0.0715028987661662	0.5552252118329122
Martin_CD	CD	T_NK	45424	0.06583444237911008	-0.019157350983697686	-0.002756805860093989	0.02247710461430081	0.4847437477985206
Martin_CD	CD	Unknown	4425	0.04222631128453331	-0.0046823549529253425	-0.0070636576960091315	0.01694915254237288	0.5188700564971751
Smillie_UC	UC	Best4+ Enterocytes	2449	0.011476593106345764	0.09017157083171735	-0.05933585667088922	0.08697427521437322	0.15312372396896692
Smillie_UC	UC	CD4+ Activated Fos-hi	10318	0.05943301803909154	0.013156883510861155	-0.024253075326144513	0.04022097305679395	0.28038379530916846
Smillie_UC	UC	CD4+ Activated Fos-lo	9358	0.034944583497648854	-0.00012570666790416162	-0.025090045783419026	0.02799743534943364	0.29643086129514856
Smillie_UC	UC	CD4+ Memory	26081	0.018460834040708588	-0.020101275120249174	-0.025599294580881907	0.016448755799240825	0.45328016563782064
Smillie_UC	UC	CD4+ PD1+	414	0.023325980879276252	-0.029669733874463804	-0.031227822982170732	0.028985507246376812	0.7077294685990339
Smillie_UC	UC	CD8+ IELs	3507	0.07869565804502622	-0.021081096808931447	-0.005929923820989619	0.02879954376960365	0.24094667807242656
Smillie_UC	UC	CD8+ IL17+	490	0.06597219902985954	-0.01844060342895741	-0.026848363260184825	0.03469387755102041	0.5040816326530613
Smillie_UC	UC	CD8+ LP	14650	0.07630593286686929	-0.013410519238787708	-0.025014805361381027	0.029419795221843004	0.3916723549488055
Smillie_UC	UC	CD69+ Mast	5129	0.04030326197323816	-0.024814775807882147	-0.030563848564497266	0.0282706180542016	0.45739910313901344
Smillie_UC	UC	CD69- Mast	141	0.04718531450726514	-0.0022187243590118216	-0.031298051707288055	0.028368794326241134	0.2127659574468085
Smillie_UC	UC	Cycling B	2139	-0.006383208507365657	-0.5304018587743695	0.5654545398186872	0.031323048153342685	0.6947171575502571
Smillie_UC	UC	Cycling Monocytes	349	0.12082916945198235	-0.3424329737117434	0.5261934283722437	0.0057306590257879654	0.22349570200573066
Smillie_UC	UC	Cycling T	553	0.05735638148240547	-0.5520843802399489	0.6566485590365653	0.0108499095840868	0.47739602169981915
Smillie_UC	UC	Cycling TA	16791	0.022142126040932176	-0.35343288740276807	0.29485822176298937	0.01304270144720386	0.21910547317015067
Smillie_UC	UC	DC1	428	0.01890925720628467	0.0055848920685108595	0.02526246536752888	0.06074766355140187	0.36682242990654207
Smillie_UC	UC	DC2	2388	0.06934757930284348	0.037953486556883034	-0.04153384700196206	0.08375209380234507	0.32998324958123953
Smillie_UC	UC	Endothelial	2258	0.11652721650323182	0.059431913198466	-0.05742016259399811	0.07130203720106289	0.4366696191319752
Smillie_UC	UC	Enterocyte Progenitors	5848	0.003179153129749632	0.04267300862530514	-0.03605062430321056	0.04480164158686731	0.08618331053351573
Smillie_UC	UC	Enterocytes	3088	0.06338890076686023	0.3167723012160066	-0.10088881388971895	0.06930051813471502	0.25939119170984454
Smillie_UC	UC	Enteroendocrine	506	0.010279357879145856	0.03969636812747231	-0.02263169081895876	0.07114624505928854	0.25296442687747034
Smillie_UC	UC	Follicular	21318	-0.003378245889898124	0.016113046476452668	-0.014818160578793513	0.03860587297119805	0.5491603339900554
Smillie_UC	UC	GC	911	-0.01308781435363781	-0.08055197676908302	-0.011959186819329873	0.03293084522502744	0.7453347969264544
Smillie_UC	UC	Glia	1174	0.14020967574004306	0.030186792579176478	-0.04566784154008154	0.05536626916524702	0.16183986371379896
Smillie_UC	UC	Goblet	1359	0.025687005681295658	0.12972189563420697	-0.06317184026593053	0.10596026490066225	0.23105224429727741
Smillie_UC	UC	ILCs	508	0.04326239771994418	0.06436621965151133	-0.04666924324373561	0.07086614173228346	0.36811023622047245
Smillie_UC	UC	Immature Enterocytes 1	2873	0.03609167813064238	0.20388228116598106	-0.06238566924223754	0.09571876087713192	0.11729899060215802
Smillie_UC	UC	Immature Enterocytes 2	7064	0.014122265679211446	0.2040894115281377	-0.09477198530301428	0.08734428086070216	0.1673272933182333
Smillie_UC	UC	Immature Goblet	7205	0.017169763468053652	-0.002345683329772155	-0.02814012615447129	0.057043719639139484	0.23761276891047883
Smillie_UC	UC	Inflammatory Fibroblasts	2263	0.2860176330110637	0.06874161320163569	-0.09549305522067854	0.07158638974812197	0.5815289438798056
Smillie_UC	UC	Inflammatory Monocytes	1644	0.07682734172601743	0.019637323212159517	-0.05911071056726979	0.07238442822384428	0.5474452554744526
Smillie_UC	UC	M cells	289	0.06926238769392173	0.08375187729335161	-0.051097135331253964	0.10726643598615918	0.5086505190311419
Smillie_UC	UC	MT-hi	369	0.05518691353848889	-0.005640562001928729	-0.016218312960437752	0.013550135501355014	0.22493224932249323
Smillie_UC	UC	Macrophages	15489	0.08494892336705935	0.02657327417443325	-0.02795077872395087	0.07443992510814126	0.43004713022144747
Smillie_UC	UC	Microvascular	661	0.14360448988802688	0.12181721154247578	-0.05649844904782732	0.0680786686838124	0.19213313161875945
Smillie_UC	UC	Myofibroblasts	1874	0.13058559475860773	0.03003120747727035	-0.06662883105571904	0.07097118463180363	0.3783351120597652
Smillie_UC	UC	NKs	2007	0.07618839686742303	-0.02872012086204468	-0.033791901853745455	0.016442451420029897	0.3941205779770802
Smillie_UC	UC	Pericytes	699	0.1018687353126269	0.06438553615701045	-0.050271262543623255	0.060085836909871244	0.5064377682403434
Smillie_UC	UC	Plasma	81857	0.01906883296508008	0.09590542756982935	-0.023217132103080962	0.07331077366627167	0.44034108261969046
Smillie_UC	UC	Post-capillary Venules	2275	0.10917206000377937	0.09290662547614548	-0.047399342991825424	0.08043956043956044	0.5138461538461538
Smillie_UC	UC	RSPO3+	358	0.19215332224063955	0.03665247141116158	-0.06886085593456219	0.0446927374301676	0.15921787709497207
Smillie_UC	UC	Secretory TA	4338	0.01953761531370728	-0.027829134667425346	-0.012833977981295768	0.06385431074227754	0.1682803135085293
Smillie_UC	UC	Stem	2172	0.030001464874946798	-0.04565713723514291	-0.02714549561382767	0.06906077348066299	0.23710865561694291
Smillie_UC	UC	TA 1	14859	0.01655942834220587	-0.04371576148433218	0.029541631998725545	0.023487448684299077	0.16696951342620633
Smillie_UC	UC	TA 2	13825	0.019496479494735527	-0.01122970275588967	-0.04546456056999542	0.06039783001808318	0.21396021699819168
Smillie_UC	UC	Tregs	6393	0.03455672522490854	0.005011657817382758	-0.023318889952444348	0.04802127326763648	0.4800563115908024
Smillie_UC	UC	Tuft	610	0.004050439245528686	0.018767169203523733	-0.04124723702682172	0.022950819672131147	0.2180327868852459
Smillie_UC	UC	WNT2B+ Fos-hi	4273	0.21644576684983993	0.0923220184053271	-0.07725404183549715	0.08378188626257899	0.2787268897729932
Smillie_UC	UC	WNT2B+ Fos-lo 1	6322	0.19212104071168157	0.04919158382801948	-0.0783172859031478	0.06944005061689339	0.21781081936096172
Smillie_UC	UC	WNT2B+ Fos-lo 2	2704	0.14021566852987447	0.02866287127445788	-0.05400403305864663	0.03365384615384615	0.27625739644970415
Smillie_UC	UC	WNT5B+ 1	2311	0.19531510360826185	0.07131169986900238	-0.07376360025929284	0.07183037646040676	0.3003028991778451
Smillie_UC	UC	WNT5B+ 2	3310	0.17138495160272924	0.01971976393464829	-0.07446447123383948	0.053474320241691846	0.24138972809667675
