cohort	score	n_present	n_total	coverage
GSE16879	senmayo	123	124	0.9919354838709677
GSE16879	inflam_crp	19	19	1.0
GSE16879	neutrophil_proxy	12	12	1.0
GSE16879	core_sen_up	4	5	0.8
GSE16879	core_sen_down	2	2	1.0
GSE73661	senmayo	120	124	0.967741935483871
GSE73661	inflam_crp	19	19	1.0
GSE73661	neutrophil_proxy	12	12	1.0
GSE73661	core_sen_up	5	5	1.0
GSE73661	core_sen_down	2	2	1.0
GSE12251	senmayo	123	124	0.9919354838709677
GSE12251	inflam_crp	19	19	1.0
GSE12251	neutrophil_proxy	12	12	1.0
GSE12251	core_sen_up	4	5	0.8
GSE12251	core_sen_down	2	2	1.0
GSE23597	senmayo	123	124	0.9919354838709677
GSE23597	inflam_crp	19	19	1.0
GSE23597	neutrophil_proxy	12	12	1.0
GSE23597	core_sen_up	4	5	0.8
GSE23597	core_sen_down	2	2	1.0
GSE92415	senmayo	123	124	0.9919354838709677
GSE92415	inflam_crp	19	19	1.0
GSE92415	neutrophil_proxy	12	12	1.0
GSE92415	core_sen_up	5	5	1.0
GSE92415	core_sen_down	2	2	1.0
